               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12051,             0.22431,            0.040756,                   0,                   0,                   0,                   0,             0.11278,              0.1723,            0.039139,              0.0928,              0.0008,              0.0008
                   1,             0.11797,             0.24069,            0.038226,           0.0060976,            0.014228,           0.0035998,          0.00086169,             0.10584,             0.18633,            0.037436,            0.084683,           0.0016832,           0.0016832
                   2,             0.11088,             0.22671,            0.033445,            0.013818,            0.049458,            0.011171,           0.0031047,             0.10086,             0.18905,            0.031998,            0.076549,           0.0025485,           0.0025485
                   3,             0.10767,             0.24788,             0.02782,            0.017923,            0.072493,            0.015816,           0.0040443,            0.095674,             0.19087,            0.027214,            0.068396,            0.003396,            0.003396
                   4,             0.10221,             0.26105,            0.021992,             0.37992,            0.036585,            0.023187,           0.0060572,            0.092342,             0.17068,            0.019855,            0.060226,           0.0042258,           0.0042258
                   5,            0.093353,             0.24555,            0.016846,             0.38388,             0.12728,            0.036153,           0.0098854,            0.088976,             0.17215,            0.013612,            0.052038,           0.0050376,           0.0050376
                   6,            0.087942,             0.23937,             0.01297,             0.38372,              0.2332,            0.058147,            0.016542,            0.093003,             0.18335,            0.012267,            0.043832,           0.0058317,           0.0058317
                   7,            0.080687,             0.22675,            0.010145,             0.79007,             0.18022,             0.13428,            0.036235,            0.078636,             0.20285,            0.012518,            0.035608,            0.006608,            0.006608
                   8,            0.077021,             0.23019,           0.0085486,             0.79952,              0.2019,             0.15536,            0.058146,            0.077878,             0.24659,            0.012497,            0.027366,           0.0073664,           0.0073664
                   9,            0.074814,             0.19526,           0.0086603,             0.07762,              0.1206,            0.079575,            0.022411,            0.090899,             0.24751,            0.011838,            0.019107,            0.008107,            0.008107
                  10,            0.083529,             0.20865,           0.0075498,             0.79439,              0.2107,             0.13832,            0.038499,            0.079293,             0.17317,            0.011476,             0.01083,           0.0088298,           0.0088298
                  11,            0.070693,             0.22666,           0.0066114,             0.46476,             0.36206,             0.14744,            0.049443,            0.074536,             0.21133,            0.011896,            0.008911,            0.008911,            0.008911
                  12,            0.074781,             0.20581,           0.0064035,             0.54815,             0.40217,             0.36374,             0.12654,            0.072649,                0.16,            0.011363,            0.008911,            0.008911,            0.008911
                  13,            0.068163,             0.19663,            0.006323,             0.50777,             0.38035,             0.23258,            0.064923,            0.080728,             0.21079,            0.010618,            0.008812,            0.008812,            0.008812
                  14,            0.075977,             0.20594,           0.0058833,             0.51539,             0.42249,              0.2641,            0.084902,            0.073541,             0.14827,           0.0097572,            0.008713,            0.008713,            0.008713
                  15,             0.06644,              0.2265,           0.0058712,             0.54052,             0.52805,              0.4091,             0.21319,            0.070512,             0.17962,           0.0093235,            0.008614,            0.008614,            0.008614
                  16,            0.066112,              0.2195,           0.0055583,             0.71523,             0.61572,             0.64719,             0.23188,            0.053844,              0.1647,            0.008884,            0.008515,            0.008515,            0.008515
                  17,            0.060792,              0.2131,           0.0055686,             0.64683,             0.52946,             0.45088,             0.22913,            0.073742,             0.16979,           0.0081333,            0.008416,            0.008416,            0.008416
                  18,            0.070096,             0.19349,           0.0058894,             0.58614,             0.61911,             0.67904,              0.2618,            0.055035,              0.1385,           0.0076286,            0.008317,            0.008317,            0.008317
                  19,            0.055211,              0.2134,           0.0053341,             0.68389,             0.64024,             0.67043,             0.41414,            0.050836,             0.14807,           0.0071674,            0.008218,            0.008218,            0.008218
                  20,            0.058526,              0.1964,           0.0053544,             0.55962,             0.62626,             0.54954,             0.25243,            0.060306,             0.14634,           0.0068401,            0.008119,            0.008119,            0.008119
                  21,            0.060728,             0.21191,            0.005089,             0.51058,             0.61352,             0.36584,             0.14964,            0.076613,             0.15713,           0.0063583,             0.00802,             0.00802,             0.00802
                  22,            0.067973,             0.19627,           0.0050762,             0.68612,              0.5998,             0.59724,             0.31005,            0.059975,             0.13916,           0.0061638,            0.007921,            0.007921,            0.007921
                  23,            0.051338,             0.19777,           0.0051283,              0.7899,             0.62737,             0.67701,             0.38488,            0.048415,             0.14066,            0.006031,            0.007822,            0.007822,            0.007822
                  24,            0.058413,             0.18777,           0.0053591,             0.80819,             0.57846,             0.67528,             0.36672,            0.061003,             0.13255,           0.0060184,            0.007723,            0.007723,            0.007723
                  25,            0.058482,             0.17432,           0.0046246,             0.77073,              0.6084,             0.58211,             0.27405,            0.059478,             0.14281,           0.0058411,            0.007624,            0.007624,            0.007624
                  26,            0.058381,              0.1943,           0.0048553,             0.85455,              0.6074,               0.718,             0.34431,            0.047109,             0.13309,           0.0057587,            0.007525,            0.007525,            0.007525
                  27,            0.048969,             0.17896,           0.0048478,             0.82248,             0.62398,             0.67361,             0.40142,            0.050849,             0.15235,           0.0057461,            0.007426,            0.007426,            0.007426
                  28,            0.052014,             0.19212,           0.0045779,             0.85878,             0.62737,             0.72427,             0.34553,            0.039749,             0.12583,           0.0056728,            0.007327,            0.007327,            0.007327
                  29,            0.047925,             0.18506,           0.0044988,              0.7838,             0.60501,             0.55349,             0.23798,             0.05987,             0.14409,           0.0055481,            0.007228,            0.007228,            0.007228
                  30,            0.061409,             0.17735,           0.0045335,                0.86,             0.62805,             0.76078,             0.42503,            0.053226,             0.13032,           0.0054726,            0.007129,            0.007129,            0.007129
                  31,            0.049229,             0.16838,           0.0046866,             0.82945,             0.58523,             0.65341,             0.24516,             0.05598,             0.13997,           0.0054199,             0.00703,             0.00703,             0.00703
                  32,            0.054173,             0.18053,           0.0042467,             0.87352,             0.62263,             0.74873,             0.51797,            0.042569,             0.12191,           0.0054005,            0.006931,            0.006931,            0.006931
                  33,            0.044415,             0.16985,            0.004673,             0.81074,             0.58643,             0.65042,             0.32591,            0.049476,             0.14887,           0.0053032,            0.006832,            0.006832,            0.006832
                  34,            0.049922,             0.17456,           0.0045259,             0.91561,             0.61764,              0.7484,             0.48583,            0.035692,             0.12227,           0.0052723,            0.006733,            0.006733,            0.006733
                  35,            0.044169,             0.17545,           0.0044253,             0.95762,              0.5832,             0.72742,             0.31071,            0.043235,             0.14293,           0.0052071,            0.006634,            0.006634,            0.006634
                  36,              0.0462,             0.15864,            0.004526,             0.47123,               0.979,             0.74266,             0.51706,             0.03353,             0.12201,           0.0051544,            0.006535,            0.006535,            0.006535
                  37,            0.041267,             0.16942,            0.004199,             0.48008,             0.97764,             0.79256,             0.53475,            0.040328,             0.14834,            0.005072,            0.006436,            0.006436,            0.006436
                  38,            0.045108,             0.17311,           0.0038097,             0.45376,             0.97764,             0.78681,              0.4547,            0.035072,              0.1271,           0.0050068,            0.006337,            0.006337,            0.006337
                  39,            0.038548,             0.15766,           0.0041595,             0.40785,             0.97222,             0.75255,             0.43804,            0.048878,              0.1308,           0.0049793,            0.006238,            0.006238,            0.006238
                  40,            0.042232,             0.18305,           0.0038536,             0.60266,              0.9729,             0.81113,             0.58144,            0.031712,             0.13793,           0.0049736,            0.006139,            0.006139,            0.006139
                  41,            0.042258,             0.17411,           0.0037402,             0.42239,              0.9729,             0.74596,             0.46089,            0.041987,             0.12148,           0.0049519,             0.00604,             0.00604,             0.00604
                  42,             0.04183,             0.16625,           0.0039315,             0.61113,             0.97222,             0.81849,             0.54735,            0.028263,             0.14165,           0.0049381,            0.005941,            0.005941,            0.005941
                  43,            0.042404,             0.17132,           0.0038404,             0.55691,             0.96951,             0.80734,             0.43253,            0.054313,             0.13638,           0.0049061,            0.005842,            0.005842,            0.005842
                  44,            0.047769,             0.16519,           0.0039842,             0.63391,             0.97154,             0.82505,             0.54533,            0.033111,             0.12947,           0.0048878,            0.005743,            0.005743,            0.005743
                  45,            0.035464,             0.16376,           0.0039418,             0.46565,             0.97222,             0.72125,               0.431,            0.037274,             0.13904,           0.0048649,            0.005644,            0.005644,            0.005644
                  46,            0.038991,             0.15875,           0.0039689,             0.60824,             0.93662,              0.8351,             0.57164,            0.027101,             0.12076,           0.0048328,            0.005545,            0.005545,            0.005545
                  47,            0.036291,             0.14768,           0.0038672,             0.49382,              0.9729,             0.78738,             0.55542,             0.04127,             0.14644,           0.0048048,            0.005446,            0.005446,            0.005446
                  48,            0.039749,             0.16986,           0.0036205,             0.63836,             0.97561,             0.86753,              0.6832,            0.026768,             0.11462,           0.0047802,            0.005347,            0.005347,            0.005347
                  49,            0.035352,             0.14465,            0.003638,             0.53379,             0.97446,             0.83711,              0.4988,            0.041998,             0.14254,           0.0047562,            0.005248,            0.005248,            0.005248
                  50,            0.040889,             0.15303,            0.003745,             0.54272,             0.97561,             0.82978,             0.59431,            0.029926,             0.11718,           0.0047556,            0.005149,            0.005149,            0.005149
                  51,            0.036188,             0.15118,           0.0036015,             0.50146,             0.97629,             0.76793,              0.4015,            0.041399,             0.13334,           0.0047407,             0.00505,             0.00505,             0.00505
                  52,            0.041866,             0.14996,            0.003844,             0.63476,             0.97742,             0.81827,             0.59658,            0.027406,             0.12186,           0.0047064,            0.004951,            0.004951,            0.004951
                  53,            0.033143,             0.15465,           0.0035194,             0.56388,             0.97561,             0.82657,             0.53434,            0.031046,             0.12969,           0.0046291,            0.004852,            0.004852,            0.004852
                  54,            0.040774,             0.14322,            0.003651,             0.62027,             0.97502,             0.82407,             0.64802,            0.033219,             0.13047,           0.0046103,            0.004753,            0.004753,            0.004753
                  55,            0.036092,             0.14533,           0.0036472,             0.46677,             0.97629,             0.78719,             0.59085,             0.03659,             0.13843,           0.0045977,            0.004654,            0.004654,            0.004654
                  56,            0.034651,             0.15015,           0.0037295,             0.56667,             0.97696,             0.82627,             0.60159,            0.024316,             0.11874,           0.0045862,            0.004555,            0.004555,            0.004555
                  57,            0.033717,             0.14749,            0.003623,             0.62118,             0.97696,             0.82409,             0.63642,            0.030828,             0.12084,           0.0045467,            0.004456,            0.004456,            0.004456
                  58,            0.034868,             0.14506,           0.0033675,             0.64388,             0.97493,             0.83446,             0.63984,            0.025053,             0.13378,           0.0045519,            0.004357,            0.004357,            0.004357
                  59,            0.030488,             0.13982,           0.0032301,             0.63274,             0.97596,             0.82511,             0.62401,            0.031576,             0.11361,            0.004509,            0.004258,            0.004258,            0.004258
                  60,            0.034909,             0.15206,           0.0036276,             0.64182,             0.97764,             0.82679,              0.6748,            0.021298,             0.12373,           0.0044975,            0.004159,            0.004159,            0.004159
                  61,            0.033779,             0.15025,           0.0031677,             0.47487,             0.97629,             0.76317,             0.51171,            0.030797,             0.12523,           0.0044712,             0.00406,             0.00406,             0.00406
                  62,            0.033336,              0.1435,           0.0033057,              0.6375,             0.97698,             0.82623,             0.70463,            0.022167,             0.11906,           0.0044392,            0.003961,            0.003961,            0.003961
                  63,            0.031013,             0.14381,           0.0034839,             0.60349,             0.97629,             0.82165,             0.68163,            0.027635,             0.12725,            0.004422,            0.003862,            0.003862,            0.003862
                  64,            0.032894,              0.1384,              0.0035,             0.63012,             0.97712,              0.8253,             0.61956,            0.025314,             0.12106,           0.0044031,            0.003763,            0.003763,            0.003763
                  65,             0.02867,             0.13918,           0.0033124,             0.48032,             0.97629,             0.80072,             0.55484,            0.031536,             0.13201,           0.0043734,            0.003664,            0.003664,            0.003664
                  66,            0.032489,             0.13782,           0.0030945,             0.63439,             0.97696,               0.825,             0.66432,            0.023809,             0.12032,           0.0043579,            0.003565,            0.003565,            0.003565
                  67,            0.028771,             0.13329,           0.0032199,             0.53198,             0.97696,             0.79361,             0.60796,            0.030328,             0.14066,           0.0043459,            0.003466,            0.003466,            0.003466
                  68,            0.032433,             0.14554,           0.0031336,             0.62042,             0.97764,             0.82371,              0.7004,            0.022781,             0.11749,           0.0043236,            0.003367,            0.003367,            0.003367
                  69,            0.028875,             0.13457,           0.0033028,             0.61118,             0.97629,             0.82042,              0.6523,            0.027829,             0.13347,           0.0042978,            0.003268,            0.003268,            0.003268
                  70,            0.029761,               0.136,           0.0033161,             0.65393,             0.97629,             0.82491,             0.65765,            0.019364,             0.10826,            0.004283,            0.003169,            0.003169,            0.003169
                  71,             0.02547,              0.1277,           0.0031392,              0.6475,             0.97764,             0.82353,             0.69274,            0.022219,             0.12846,           0.0042572,             0.00307,             0.00307,             0.00307
                  72,            0.027212,             0.13226,           0.0031617,             0.65432,             0.97832,             0.82677,             0.69781,            0.019226,             0.10986,           0.0042309,            0.002971,            0.002971,            0.002971
                  73,            0.025853,             0.14186,            0.002856,             0.64577,             0.97888,             0.82636,             0.72098,            0.023992,             0.14389,           0.0041811,            0.002872,            0.002872,            0.002872
                  74,            0.027261,             0.13937,           0.0030963,             0.64846,             0.97764,             0.82681,             0.71558,            0.018538,             0.11963,           0.0041559,            0.002773,            0.002773,            0.002773
                  75,            0.025874,             0.12159,           0.0028806,             0.65568,             0.97629,             0.82574,             0.67043,            0.024807,             0.12523,           0.0041342,            0.002674,            0.002674,            0.002674
                  76,            0.027714,             0.13113,           0.0029451,             0.66069,             0.97493,             0.82605,             0.65284,            0.019452,             0.11783,           0.0041199,            0.002575,            0.002575,            0.002575
                  77,            0.025524,             0.12022,           0.0031811,             0.65732,             0.97696,             0.82606,             0.64714,            0.022279,             0.11831,           0.0041033,            0.002476,            0.002476,            0.002476
                  78,            0.026982,             0.12091,            0.002937,             0.65625,             0.97696,             0.82604,              0.7249,             0.01926,             0.12293,           0.0041056,            0.002377,            0.002377,            0.002377
                  79,            0.025718,             0.12984,            0.002899,                0.66,             0.97629,             0.82629,             0.69669,            0.020327,             0.12632,           0.0041107,            0.002278,            0.002278,            0.002278
                  80,            0.026264,             0.12645,           0.0027494,             0.66072,             0.97561,             0.82598,             0.72838,            0.018252,             0.11948,           0.0041039,            0.002179,            0.002179,            0.002179
                  81,             0.02461,             0.11958,           0.0029817,             0.64517,             0.97629,             0.82551,             0.68943,            0.023069,              0.1256,           0.0040998,             0.00208,             0.00208,             0.00208
                  82,            0.026002,             0.12437,           0.0029223,             0.65107,             0.97629,             0.82662,             0.71675,            0.018712,             0.11803,           0.0041004,            0.001981,            0.001981,            0.001981
                  83,             0.02402,             0.12325,           0.0029725,             0.64504,             0.97629,              0.8256,             0.72071,            0.018655,             0.11206,           0.0040953,            0.001882,            0.001882,            0.001882
                  84,             0.02567,             0.13395,           0.0029062,             0.64668,             0.97696,             0.82666,             0.72961,            0.017819,             0.12175,            0.004089,            0.001783,            0.001783,            0.001783
                  85,            0.023198,             0.11881,           0.0030547,             0.64726,             0.97696,             0.82637,             0.70109,            0.020379,             0.12674,           0.0040569,            0.001684,            0.001684,            0.001684
                  86,            0.025472,             0.12872,           0.0027597,             0.65315,             0.97696,             0.82698,             0.73507,             0.01749,             0.12383,            0.004038,            0.001585,            0.001585,            0.001585
                  87,            0.022829,             0.12253,            0.002744,             0.65572,             0.97696,             0.82679,             0.74238,            0.017852,             0.11768,           0.0040215,            0.001486,            0.001486,            0.001486
                  88,            0.024575,              0.1174,           0.0028743,             0.65711,             0.97649,             0.82678,             0.72266,            0.018238,             0.12348,           0.0040209,            0.001387,            0.001387,            0.001387
                  89,            0.023394,             0.11725,           0.0029461,              0.6555,             0.97629,             0.82622,             0.71458,            0.018606,             0.11694,           0.0040134,            0.001288,            0.001288,            0.001288
                  90,            0.023428,             0.12427,           0.0028155,             0.65885,             0.97629,              0.8261,             0.72831,              0.0161,             0.11372,           0.0040174,            0.001189,            0.001189,            0.001189
                  91,            0.021496,              0.1026,           0.0028021,             0.65639,             0.97629,             0.82616,             0.68908,            0.017523,             0.11983,           0.0040112,             0.00109,             0.00109,             0.00109
                  92,            0.022244,             0.11257,           0.0027908,             0.65533,             0.97629,             0.82596,             0.72195,            0.016225,             0.11749,           0.0040043,            0.000991,            0.000991,            0.000991
                  93,             0.02245,             0.12353,           0.0026812,              0.6545,             0.97629,             0.82588,             0.72494,            0.016715,             0.11418,           0.0039888,            0.000892,            0.000892,            0.000892
                  94,            0.023097,             0.13184,           0.0025719,             0.65579,             0.97629,             0.82625,             0.72841,            0.015973,             0.11749,           0.0039803,            0.000793,            0.000793,            0.000793
                  95,            0.022583,             0.12252,           0.0025852,             0.65564,             0.97696,             0.82678,             0.74346,            0.016156,             0.12119,           0.0039711,            0.000694,            0.000694,            0.000694
                  96,            0.021717,             0.11664,           0.0027614,             0.65483,             0.97696,             0.82659,             0.73734,            0.016134,             0.11981,           0.0039608,            0.000595,            0.000595,            0.000595
                  97,            0.021505,             0.11619,           0.0028463,             0.65537,             0.97696,             0.82686,             0.73604,            0.015639,             0.11776,           0.0039482,            0.000496,            0.000496,            0.000496
                  98,            0.020968,             0.11066,           0.0026875,              0.6543,             0.97696,             0.82686,             0.73562,            0.015632,             0.11687,           0.0039396,            0.000397,            0.000397,            0.000397
                  99,            0.022064,             0.11942,           0.0026128,             0.65438,             0.97696,             0.82692,             0.74214,             0.01581,             0.11941,           0.0039316,            0.000298,            0.000298,            0.000298
